campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,tier_status,intent_score,local_intent_score,commercial_intent_score,relevance_score,adjusted_relevance_score,source_trust_multiplier,negative_risk_score,landing_page_fit_score,source_validation_score,breadth_score,ambiguity_risk_score,recommended_match_type,status_recommendation,notes
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,mercedes sprinter service near me,autocomplete;related_searches,mercedes sprinter service near me,include_now,40,25,48,100,100,1.0,0,70,0,62,24,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset,autocomplete,mercedes sprinter service reset,exclude_negative,23,0,36,75,75,1.0,35,56,0,52,24,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset 2013,autocomplete,mercedes sprinter service reset 2013,exclude_negative,23,0,36,75,75,1.0,35,56,0,74,24,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset 2017,autocomplete,mercedes sprinter service reset 2017,exclude_negative,23,0,36,75,75,1.0,35,56,0,74,24,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes Sprinter specialist near me,related_searches,mercedes sprinter specialist near me,review_high_priority,40,25,48,45,45,1.0,0,42,0,74,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes Sprinter Van | Schedule & Booking Online,organic_title,mercedes sprinter van schedule booking online,review_high_priority,23,0,36,60,42,0.7,0,42,0,84,44,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes-Benz Mobile Servicing,organic_title,mercedes-benz mobile servicing,review_high_priority,32,25,36,45,31,0.7,0,56,0,30,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes-Benz Online Service Booking Application,organic_title,mercedes-benz online service booking application,review_high_priority,16,0,24,35,24,0.7,0,42,0,80,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,Mercedes-Benz Sprinter service,related_searches,mercedes-benz sprinter service,review_high_priority,23,0,36,60,60,1.0,0,56,0,30,44,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes-Benz Van Servicing,organic_title,mercedes-benz van servicing,review_high_priority,23,0,36,30,21,0.7,0,56,0,30,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile diesel service near me,autocomplete,mobile diesel service near me,review_high_priority,41,50,36,60,60,1.0,0,42,0,74,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile service ideas,autocomplete,mobile service ideas,review_high_priority,24,25,24,50,50,1.0,0,42,0,48,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile sprinter repair,autocomplete,mobile sprinter repair,review_high_priority,32,25,36,50,50,1.0,0,42,0,48,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,mobile sprinter service,seed,mobile sprinter service,review_high_priority,32,25,36,75,75,1.0,0,56,0,30,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,Mobile sprinter service near me,related_searches,mobile sprinter service near me,include_now,49,50,48,85,85,1.0,0,70,0,62,36,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Technician,organic_title,mobile technician,review_high_priority,17,25,12,25,18,0.7,0,14,0,44,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Van Service | Mobile Workshop,organic_title,mobile van service mobile workshop,review_high_priority,32,25,36,60,42,0.7,0,42,0,74,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Official Van Services & Repair,organic_title,official van services repair,review_high_priority,23,0,36,20,14,0.7,0,42,0,64,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Pay As You Go Servicing & MOTs,organic_title,pay as you go servicing mots,review_high_priority,8,0,12,10,7,0.7,0,14,0,100,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,ServiceCare Maintenance Plans | Mercedes-Benz Vans UK,organic_title,servicecare maintenance plans mercedes-benz vans uk,review_high_priority,23,0,36,30,21,0.7,0,56,0,84,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Servicing | Mobile Mercedes Mechanic | UK,organic_title,servicing mobile mercedes mechanic uk,review_high_priority,40,25,48,45,31,0.7,0,56,0,74,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter car service near me,autocomplete,sprinter car service near me,review_high_priority,32,25,36,90,90,1.0,0,42,0,74,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter limo service near me,autocomplete,sprinter limo service near me,review_high_priority,32,25,36,90,90,1.0,18,42,0,74,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter maintenance near me,autocomplete,sprinter maintenance near me,review_high_priority,24,25,24,65,65,1.0,0,28,0,64,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter mechanic near me,autocomplete,sprinter mechanic near me,review_high_priority,32,25,36,65,65,1.0,0,28,0,64,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care,autocomplete,sprinter mobile care,review_high_priority,24,25,24,50,50,1.0,0,42,0,48,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care reviews,autocomplete,sprinter mobile care reviews,review_high_priority,24,25,24,50,50,1.0,36,42,0,64,48,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care san diego,autocomplete,sprinter mobile care san diego,exclude_negative,24,25,24,50,50,1.0,38,42,0,80,48,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care san diego reviews,autocomplete,sprinter mobile care san diego reviews,exclude_negative,24,25,24,50,50,1.0,74,42,0,96,48,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,sprinter phone service,autocomplete,sprinter phone service,review_high_priority,16,0,24,50,50,1.0,0,42,0,48,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter repair near me,autocomplete,sprinter repair near me,review_high_priority,32,25,36,65,65,1.0,0,28,0,64,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service center near me,autocomplete,sprinter service center near me,exclude_negative,32,25,36,90,90,1.0,35,42,0,74,36,negative,exclude_negative,Matched risk phrase: 'service center'.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service near kent,related_searches,sprinter service near kent,review_high_priority,24,25,24,65,65,1.0,0,42,0,64,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter service near me,seed,sprinter service near me,review_high_priority,32,25,36,90,90,1.0,0,42,0,52,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,Sprinter service near me prices,related_searches,sprinter service near me prices,review_high_priority,32,25,36,90,90,1.0,26,42,0,74,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter van service near me,autocomplete,sprinter van service near me,include_now,40,25,48,100,100,1.0,0,56,0,62,24,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,Used sprinter service near me,related_searches,used sprinter service near me,review_high_priority,32,25,36,90,90,1.0,0,42,0,74,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,"Van Maintenance, Inspection & MOT Services",organic_title,van maintenance inspection mot services,review_high_priority,23,0,36,20,14,0.7,0,42,0,80,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,What are the drawbacks of using a mobile mechanic?,paa,what are the drawbacks of using a mobile mechanic,review_high_priority,24,25,24,25,12,0.5,32,14,0,100,60,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,What is included in Mercedes Sprinter Service A?,paa,what is included in mercedes sprinter service a,exclude_negative,23,0,36,75,38,0.5,67,56,0,100,24,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,What is the difference between Sprinter Service A and B?,paa,what is the difference between sprinter service a and b,exclude_negative,16,0,24,50,25,0.5,67,42,0,100,36,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remap van,Best fuel economy remap van,related_searches,best fuel economy remap van,review_high_priority,47,0,72,100,100,1.0,26,84,0,62,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,fuel economy remap van,Best remap company UK,related_searches,best remap company uk,review_high_priority,8,0,12,25,25,1.0,26,28,0,76,48,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,van economy tune,Best van economy tune,related_searches,best van economy tune,review_high_priority,36,0,56,99,99,1.0,26,56,0,52,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,fuel economy remap van,Disadvantages of remapping a car,related_searches,disadvantages of remapping a car,review_high_priority,16,0,24,20,20,1.0,0,42,0,80,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Does a tune improve fuel economy?,paa,does a tune improve fuel economy,review_high_priority,18,0,28,72,36,0.5,0,56,0,84,48,phrase,review,PAA / related question; review or use as negative/FAQ only.
Van Tuning,Van Economy Tune,van economy tune,Eco Tuning,organic_title,eco tuning,review_high_priority,8,0,12,10,7,0.7,0,0,0,44,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Economy Remap,organic_title,economy remap,review_high_priority,18,0,28,62,43,0.7,0,42,0,20,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Economy remap near me,related_searches,economy remap near me,review_high_priority,35,25,40,47,47,1.0,0,42,0,64,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Economy remap vs stage 1,related_searches,economy remap vs stage 1,review_high_priority,18,0,28,47,47,1.0,0,42,0,80,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Economy Tuning,organic_title,economy tuning,review_high_priority,8,0,12,35,24,0.7,0,28,0,20,80,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Engine Remapping for Transit,organic_title,engine remapping for transit,review_high_priority,8,0,12,10,7,0.7,0,14,0,76,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Fuel Economy,organic_title,fuel economy,review_high_priority,10,0,16,47,33,0.7,0,42,0,20,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy mapping,autocomplete,fuel economy mapping,review_high_priority,10,0,16,62,62,1.0,0,42,0,48,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap,autocomplete;related_searches,fuel economy remap,include_now,39,0,60,100,100,1.0,0,56,0,30,48,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap uk,autocomplete,fuel economy remap uk,include_now,39,0,60,100,100,1.0,0,56,0,52,48,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,fuel economy remap van,seed,fuel economy remap van,include_now,47,0,72,100,100,1.0,0,84,0,40,36,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,Fuel economy remap van cost,related_searches,fuel economy remap van cost,review_high_priority,47,0,72,100,100,1.0,26,84,0,62,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,van economy tune,Fuel Economy Tune in Derby,organic_title,fuel economy tune in derby,review_high_priority,29,0,44,84,59,0.7,18,56,0,74,48,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,van economy tune,Get my car tuned,related_searches,get my car tuned,review_high_priority,8,0,12,10,10,1.0,0,14,0,76,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,How to tune a diesel engine for fuel economy?,paa,how to tune a diesel engine for fuel economy,exclude_negative,18,0,28,72,36,0.5,67,56,0,100,48,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,van economy tune,Is an economy remap worth it?,paa,is an economy remap worth it,exclude_negative,18,0,28,47,24,0.5,67,42,0,96,68,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remap van,More MPG & Economy Remaps,organic_title,more mpg economy remaps,review_high_priority,18,0,28,47,33,0.7,0,56,0,64,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Quantum tuning remap,related_searches,quantum tuning remap,review_high_priority,16,0,24,20,20,1.0,0,28,0,48,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,Remap calculator stage 1,related_searches,remap calculator stage 1,review_high_priority,8,0,12,25,25,1.0,18,14,0,76,48,phrase,review,Elevated risk or weak fit; manual review suggested.
Van Tuning,Van Economy Tune,fuel economy remap van,Remap calculator stage 2,related_searches,remap calculator stage 2,exclude_negative,8,0,12,25,25,1.0,53,14,0,76,48,negative,exclude_negative,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remap van,Remap near me,related_searches,remap near me,review_high_priority,24,25,24,25,25,1.0,0,14,0,66,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,fuel economy remap van,The courier's guide to engine remapping,organic_title,the courier s guide to engine remapping,review_high_priority,8,0,12,10,7,0.7,0,14,0,100,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy remap,van economy remap,seed,van economy remap,include_now,36,0,56,99,99,1.0,0,56,0,30,36,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,van economy tune,seed,van economy tune,include_now,36,0,56,99,99,1.0,0,56,0,30,36,phrase,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,van economy tune,Van economy tune near me,related_searches,van economy tune near me,include_now,53,25,68,99,99,1.0,0,56,0,74,36,exact,include,Good relevance and commercial intent; low risk.
Van Tuning,Van Economy Tune,fuel economy remap van,Van remapping near me,related_searches,van remapping near me,review_high_priority,32,25,36,35,35,1.0,0,42,0,64,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Van Tuning,related_searches,van tuning,review_high_priority,16,0,24,35,35,1.0,0,28,0,20,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Van Tuning & ECU Remapping,organic_title,van tuning ecu remapping,review_high_priority,23,0,36,45,31,0.7,0,42,0,52,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,Van Tuning Guide 2025 | Torque & MPG Gains with a Remap,organic_title,van tuning guide 2025 torque mpg gains with a remap,review_high_priority,23,0,36,45,31,0.7,0,56,0,100,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Load & Driveability Tune,van economy tune,Van Tuning that delivers driveability,organic_title,van tuning that delivers driveability,review_high_priority,16,0,24,45,31,0.7,0,42,0,74,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Van Tuning,Van Economy Tune,van economy tune,What is an economy tune?,paa,what is an economy tune,exclude_negative,18,0,28,62,31,0.5,100,42,0,80,48,negative,exclude_negative,High negative-risk score or policy/junk signals.
