campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,intent_score,local_intent_score,commercial_intent_score,relevance_score,negative_risk_score,recommended_match_type,status_recommendation,notes
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes Ashford,organic_title,mercedes ashford,8,0,12,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes benz diagnostics near me,autocomplete,mercedes benz diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic centre near me,autocomplete,mercedes diagnostic centre near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostic check cost,related_searches,mercedes diagnostic check cost,23,0,36,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic check near me,autocomplete,mercedes diagnostic check near me,40,25,48,75,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic cost near me,autocomplete,mercedes diagnostic cost near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostic cost UK,related_searches,mercedes diagnostic cost uk,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic service near me,autocomplete,mercedes diagnostic service near me,40,25,48,65,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic test near me,autocomplete,mercedes diagnostic test near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostics and repair centre,autocomplete,mercedes diagnostics and repair centre,31,0,48,60,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostics in Kent,organic_title,mercedes diagnostics in kent,32,25,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostics near maidstone,related_searches,mercedes diagnostics near maidstone,32,25,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostics near me,seed,mercedes diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes diagnostics near me prices,related_searches,mercedes diagnostics near me prices,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes independent specialist near me,related_searches,mercedes independent specialist near me,32,25,36,55,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes mobile diagnostics near me,autocomplete,mercedes mobile diagnostics near me,56,50,60,100,0,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes specialist gravesend,related_searches,mercedes specialist gravesend,24,25,24,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes specialist Kent,related_searches,mercedes specialist kent,24,25,24,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes star diagnostics near me,autocomplete,mercedes star diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes-Benz Authorised Repairer near me,related_searches,mercedes-benz authorised repairer near me,32,25,36,40,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile engine diagnostics near me,autocomplete,mobile engine diagnostics near me,49,50,48,70,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Mobile Mechanic Maidstone Kent,organic_title,mobile mechanic maidstone kent,42,75,24,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Mobile mechanic near me,related_searches,mobile mechanic near me,41,50,36,40,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile mercedes diagnostics,seed,mobile mercedes diagnostics,40,25,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics cost,related_searches,mobile mercedes diagnostics cost,40,25,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics london,related_searches,mobile mercedes diagnostics london,49,50,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mobile mercedes diagnostics near me,autocomplete;related_searches,mobile mercedes diagnostics near me,56,50,60,100,0,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics prices,related_searches,mobile mercedes diagnostics prices,40,25,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Mercedes mechanic reviews,related_searches,mobile mercedes mechanic reviews,32,25,36,50,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Mercedes Mechanic Reviews 116,organic_title,mobile mercedes mechanic reviews 116,32,25,36,50,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile mercedes star diagnostic,autocomplete,mobile mercedes star diagnostic,32,25,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Technician,organic_title,mobile technician,17,25,12,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,mobile van diagnostics near me,autocomplete;related_searches,mobile van diagnostics near me,56,50,60,100,0,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Van Service | Mobile Workshop,organic_title,mobile van service mobile workshop,32,25,36,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,mobile vehicle diagnostics near me,autocomplete,mobile vehicle diagnostics near me,49,50,48,75,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Paul mobile Mercedes mechanic,related_searches,paul mobile mercedes mechanic,32,25,36,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Service and Repair,organic_title,service and repair,16,0,24,0,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,van diagnostics near kent,related_searches,van diagnostics near kent,32,25,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,van diagnostics near me,seed,van diagnostics near me,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Van diagnostics near me open now,related_searches,van diagnostics near me open now,40,25,48,90,35,negative,exclude_negative,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Van diagnostics near me prices,related_searches,van diagnostics near me prices,40,25,48,90,0,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me,autocomplete,vehicle diagnostics near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me open now,autocomplete,vehicle diagnostics near me open now,32,25,36,65,35,negative,exclude_negative,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me prices,autocomplete,vehicle diagnostics near me prices,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me within 5 mi,autocomplete,vehicle diagnostics near me within 5 mi,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle electrical diagnostics near me,autocomplete,vehicle electrical diagnostics near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,what causes mercedes check engine light,autocomplete,what causes mercedes check engine light,16,0,24,55,32,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Why are Mercedes diagnostics so expensive?,paa,why are mercedes diagnostics so expensive,23,0,36,60,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,24 hour mobile sprinter service,related_searches,24 hour mobile sprinter service,32,25,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,dodge sprinter service near me,autocomplete,dodge sprinter service near me,32,25,36,90,18,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,expert mercedes-benz servicing & repairs in kent,organic_title,expert mercedes-benz servicing repairs in kent,32,25,36,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,freightliner sprinter service near me,autocomplete,freightliner sprinter service near me,32,25,36,90,18,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,How much do RAC mobile mechanics charge?,paa,how much do rac mobile mechanics charge,24,25,24,25,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How much does it cost to service a Mercedes Sprinter?,autocomplete;paa,how much does it cost to service a mercedes sprinter,23,0,36,75,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,How much is a Mercedes Sprinter service?,paa,how much is a mercedes sprinter service,23,0,36,60,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How much is a service on a Mercedes Sprinter?,paa,how much is a service on a mercedes sprinter,23,0,36,75,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How often should a Mercedes Sprinter van be serviced?,paa,how often should a mercedes sprinter van be serviced,31,0,48,70,67,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Is it cheaper to use a mobile mechanic?,paa,is it cheaper to use a mobile mechanic,24,25,24,25,100,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Is service A or B bigger on Mercedes?,paa,is service a or b bigger on mercedes,16,0,24,35,0,phrase,review,PAA / related question; review or use as negative/FAQ only.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Maidstone Mobile Mechanics & Garages,organic_title,maidstone mobile mechanics garages,41,50,36,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes 24 hour breakdown number,related_searches,mercedes 24 hour breakdown number,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes approved service near me,related_searches,mercedes approved service near me,32,25,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes Ashford,organic_title,mercedes ashford,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes benz Service Maidstone,related_searches,mercedes benz service maidstone,24,25,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Benz Sprinter Service,organic_title,mercedes benz sprinter service,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes garage near me,related_searches,mercedes garage near me,32,25,36,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes service prices UK,related_searches,mercedes service prices uk,16,0,24,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes Servicing,organic_title,mercedes servicing,16,0,24,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes servicing Tonbridge,organic_title,mercedes servicing tonbridge,24,25,24,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes specialist gravesend,related_searches,mercedes specialist gravesend,24,25,24,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,mercedes sprinter mobile service,autocomplete,mercedes sprinter mobile service,40,25,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service,seed,mercedes sprinter service,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service a,autocomplete,mercedes sprinter service a,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service a reset,related_searches,mercedes sprinter service a reset,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service b,autocomplete,mercedes sprinter service b,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Sprinter service B cost,related_searches,mercedes sprinter service b cost,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service b reset,autocomplete,mercedes sprinter service b reset,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service cost,related_searches,mercedes sprinter service cost,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service cost uk,related_searches,mercedes sprinter service cost uk,23,0,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service intervals,autocomplete;related_searches,mercedes sprinter service intervals,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Sprinter service intervals uk,related_searches,mercedes sprinter service intervals uk,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service kit,autocomplete,mercedes sprinter service kit,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service kit'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service light reset,autocomplete,mercedes sprinter service light reset,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,mercedes sprinter service near me,autocomplete;related_searches,mercedes sprinter service near me,40,25,48,100,0,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset,autocomplete,mercedes sprinter service reset,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset 2013,autocomplete,mercedes sprinter service reset 2013,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service reset 2017,autocomplete,mercedes sprinter service reset 2017,23,0,36,75,35,negative,exclude_negative,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes Sprinter specialist near me,related_searches,mercedes sprinter specialist near me,40,25,48,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes-Benz Online Service Booking Application,organic_title,mercedes-benz online service booking application,16,0,24,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,Mercedes-Benz Sprinter service,related_searches,mercedes-benz sprinter service,23,0,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes-Benz Van Servicing,organic_title,mercedes-benz van servicing,23,0,36,30,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes-Benz Vans Service Intervals,organic_title,mercedes-benz vans service intervals,23,0,36,45,35,negative,exclude_negative,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Benz Tech,related_searches,mobile benz tech,17,25,12,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile diesel service near me,autocomplete,mobile diesel service near me,41,50,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Mercedes mechanic near me,related_searches,mobile mercedes mechanic near me,49,50,48,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile service ideas,autocomplete,mobile service ideas,24,25,24,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,mobile sprinter repair,autocomplete,mobile sprinter repair,32,25,36,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,mobile sprinter service,seed,mobile sprinter service,32,25,36,75,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,Mobile sprinter service near me,related_searches,mobile sprinter service near me,49,50,48,85,0,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Technician,organic_title,mobile technician,17,25,12,25,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mobile Van Service | Mobile Workshop,organic_title,mobile van service mobile workshop,32,25,36,60,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Official Van Services & Repair,organic_title,official van services repair,23,0,36,20,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Paul mobile Mercedes mechanic,related_searches,paul mobile mercedes mechanic,32,25,36,35,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Pay As You Go Servicing & MOTs,organic_title,pay as you go servicing mots,8,0,12,10,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,ServiceCare Maintenance Plans | Mercedes-Benz Vans UK,organic_title,servicecare maintenance plans mercedes-benz vans uk,23,0,36,30,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Servicing | Mobile Mercedes Mechanic | UK,organic_title,servicing mobile mercedes mechanic uk,40,25,48,45,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter car service near me,autocomplete,sprinter car service near me,32,25,36,90,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,sprinter limo service near me,autocomplete,sprinter limo service near me,32,25,36,90,18,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter maintenance near me,autocomplete,sprinter maintenance near me,24,25,24,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,sprinter mechanic near me,autocomplete,sprinter mechanic near me,32,25,36,65,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,sprinter mobile care,autocomplete,sprinter mobile care,24,25,24,50,0,phrase,review,Ambiguous relevance or commercial intent; review before adding.
