Ad report
All time
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://www.tripointdiagnostics.co.uk/services/sprinter-limp-mode,Sprinter Limp Mode Help, --,Reduced Power Diagnostics, --,Loss Of Boost Fault Finding, --,W906 / W907 Specialists, --,Xentry-Level Scan Depth, --,Live Data & Actuation Tests, --,Stop Parts Darts, --,Mobile Callout To You, --,Clear Fault Plan Provided, --,Courier Van Downtime Help, --,Kent & SE London Coverage, --,Same-Day Triage Options, --,Independent MB Specialist, --,Book Online Fast, --,Call 06:00-22:00, --,Limp mode is not a diagnosis. We test properly and deliver a fix plan., --,Xentry workflow + live data checks to find the real cause of power loss., --,Mobile across Kent & SE London. Ideal for courier vans under downtime pressure., --,Book a callout or triage. Clear next steps - no guessing., --,sprinter,limp-mode,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,Sprinter Limp Mode | Reduced Power,Not eligible,campaign removed,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,8,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://www.tripointdiagnostics.co.uk/services/intermittent-electrical-faults,Intermittent Fault Diagnosis, --,Sprinter Electrical Faults, --,CAN / Network Fault Finding, --,Dealer-Level Test Process, --,Live Data & Guided Checks, --,Wiring & Module Testing, --,Stop Replacing Parts, --,Clear Root Cause Plan, --,Mobile Callout To You, --,Sprinter / Vito Specialists, --,Kent & SE London Coverage, --,Book Online Fast, --,Call 06:00-22:00, --,Independent MB Specialist, --,Hard Faults Solved Properly, --,"Intermittent faults need a process. We test, prove and plan - no guessing.", --,Dealer-level scan depth + electrical checks to isolate the real cause., --,Mobile across Kent & SE London with triage options if needed., --,Book now. Clear explanation and next steps you can trust., --,sprinter,electrical,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,Intermittent Electrical | CAN Faults,Not eligible,campaign removed,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,72,722,9.97%,GBP,2.43,175.28,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/mercedes-xentry-diagnostics-coding,Mobile Sprinter Diagnostics, --,Mercedes Sprinter Diagnostics, --,Dealer-Level Van Diagnostics, --,Sprinter Fault Finding, --,Sprinter Limp Mode Help, --,Reduced Power? We Come To You, --,Warning Lights? Call Today, --,Kent & SE London Coverage, --,Save Time and Money, --,Same Day Appointment Available, --,Xentry-Level Diagnostics, --,Mercedes Sprinter Expert, --,Book Online In Minutes, --,Clear Communication & Pricing, --,WhatsApp Fast Booking, --,"Mobile dealer-level diagnostics for Sprinter vans. Full scan, live data, clear fix plan.", --,"Limp mode, warning lights, reduced power. We test properly and advise next steps.", --,Covering Kent & SE London. Book online or WhatsApp. Diagnostics from £120+., --,Fleet & trade support available. Coding/adaptations where required. 6am–10pm callouts., --,sprinter,diagnostics,, --, --,,VOR & Mercedes Van Diagnostics,Mercedes Sprinter Diagnostics (General),Not eligible,ad group removed; campaign removed,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/,Kent & SE London, --,Coverage Radius, --,Mobile Vehicle Diagnostics, --,TriPoint Diagnostics, --,Dealer-Level Tooling, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,We Come to You across Kent & SE London. No Workshop Drop-Off Needed, --,Dealer-Level Diagnostic Depth Delivered to Your Driveway, --,TriPoint Diagnostics - Mobile Vehicle Diagnostics & Repairs, --, --, --, --, --,, --, --,,VOR & Mercedes Van Diagnostics,Ad group 1,Not eligible,ad group removed; campaign removed,Poor,Add more headlines to increase your chances for better performance;Try including more keywords in your headlines;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets;Add 6 more sitelinks in your ad,Responsive search ad,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://www.tripointdiagnostics.co.uk/services/vor-van-diagnostics,VOR Van Diagnostics, --,Priority Triage Available, --,Uptime-First Diagnostic Visit, --,Sprinter / Vito Specialists, --,Mobile Callout To You, --,Fast Fault Isolation, --,Clear Next Step Plan, --,Xentry-Based Workflow, --,Courier & Fleet Friendly, --,Kent & SE London Coverage, --,Book Online Fast, --,Call 06:00-22:00, --,Independent MB Specialist, --,Avoid Unnecessary Parts, --,Get Back On The Road, --,VOR triage: fast diagnosis + decision plan to restore uptime without guesswork., --,Mobile across Kent & SE London. Ideal for couriers and working vans., --,Dealer-level scan depth with a clear fault pathway and next steps., --,Call now or book online. We'll confirm the best approach quickly., --,vor,triage,, --, --,,TriPoint | Search | Mercedes Vans | Kent + SE London,VOR | Urgent Triage,Not eligible,campaign removed,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,1,7,14.29%,GBP,2.49,2.49,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/diagnostic-callout,Mobile Mercedes Diagnostics, --,Mercedes Van Diagnostics, --,Warning Light Diagnosis, --,AdBlue & DPF Faults, --,Limp Mode Fault Finding, --,Dealer-Level Xentry Scan, --,Written Fix Plan, --,Diagnostics From £120, --,Kent & SE London, --,Call Or WhatsApp Now, --,Commercial Van Specialist, --,Same-Day VOR Available, --,Sprinter & Vito Experts, --,Electrical Fault Diagnosis, --,Send Us Your Reg, --,"Full-system scan, live data and guided tests with a written fix plan.", --,"Mobile Mercedes van diagnostics for warning lights, limp mode and emissions faults.", --,Call or WhatsApp with your reg and symptoms for quick triage and booking., --,Kent and SE London coverage. Fixed pricing confirmed before attendance., --,diagnostics,mercedes-vans,, --, --,,Search | Diagnostics & VOR | Kent + SE London,Standard Diagnosis,Eligible,,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,4,19,21.05%,GBP,4.17,16.69,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/vor-van-diagnostics,VOR Van Diagnostics, --,Urgent Van Diagnostics, --,Priority Commercial Triage, --,Van Won't Start Help, --,Fast Back On Road Focus, --,Mobile Diagnostic Visit, --,Kent & SE London, --,Same-Day Priority Slots, --,Call Or WhatsApp Now, --,Mercedes Van Specialist, --, --, --, --, --, --, --, --, --, --, --,Priority diagnostics for off-road vans with triage to get you moving quickly., --,Mobile commercial vehicle fault finding across Kent and SE London., --,"Call or WhatsApp with your reg, symptoms and location for the next slot.", --,Fixed pricing confirmed first before attendance., --,vor,urgent-van,, --, --,,Search | Diagnostics & VOR | Kent + SE London,VOR / Urgent Van Diagnostics,Eligible,,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/pre-purchase-digital-health-check,Pre-Purchase Van Check, --,Used Van Health Check, --,Diagnostic Scan Before Buy, --,Mercedes Van Buyer Check, --,Written Condition Report, --,Dealer-Level Xentry Scan, --,Sprinter & Vito Checks, --,Kent & SE London, --,Call Or WhatsApp Now, --,Digital Report Included, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --, --, --,Pre-purchase digital health check with full-system scan and written condition report., --,Ideal before buying a used van so faults and warning lights are checked first., --,Call or WhatsApp with the reg and location to book a buyer inspection., --,Kent and SE London coverage with fixed pricing confirmed first., --,used-van,health-check,, --, --,,Search | Diagnostics & VOR | Kent + SE London,Pre-Purchase Van Check,Eligible,,Good,Try including more keywords in your descriptions,Responsive search ad,5,28,17.86%,GBP,1.03,5.13,60.00%,3.00,1.71
Enabled,https://tripointdiagnostics.co.uk/services/diagnostic-callout,Limp Mode Diagnostics, --,Reduced Power Diagnosis, --,Sprinter Limp Mode Help, --,Vito Derate Diagnosis, --,Dealer-Level Xentry Scan, --,Mobile Van Diagnostics, --,Turbo Fault Diagnosis, --,Kent & SE London, --,Call Or WhatsApp Now, --,Diagnostics From £120, --, --, --, --, --, --, --, --, --, --, --,"Mobile diagnosis for limp mode, reduced power, boost and derate faults on vans.", --,"Full-system scan, live data and guided tests with a written fix plan.", --,Call or WhatsApp with your reg and symptoms for quick triage and booking., --,Fixed pricing confirmed first across Kent and SE London., --,limp-mode,reduced-power,, --, --,,Search | Diagnostics & VOR | Kent + SE London,Limp Mode / Derate,Eligible,,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,2,2,100.00%,GBP,10.16,20.32,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/diagnostic-callout,AdBlue Fault Diagnosis, --,DPF Fault Diagnosis, --,Mercedes Van Emissions, --,NOx Sensor Diagnostics, --,Dealer-Level Xentry Scan, --,Warning Light Diagnosis, --,Mobile Van Diagnostics, --,Kent & SE London, --,Call Or WhatsApp Now, --,Diagnostics From £120, --, --, --, --, --, --, --, --, --, --, --,"Mobile Mercedes van diagnostics for AdBlue, DPF, NOx and emissions warning faults.", --,"Full-system scan, live data and guided tests with a written fix plan.", --,Call or WhatsApp with your reg and symptoms for quick triage and booking., --,Fixed pricing confirmed first across Kent and SE London., --,emissions,adblue-dpf,, --, --,,Search | Diagnostics & VOR | Kent + SE London,AdBlue / DPF / Emissions,Eligible,,Good,Add more headlines to increase your chances for better performance;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets,Responsive search ad,0,0, --,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/van-load-driveability-tune,Van Load Tune From £199, --,Driveability Tune For Vans, --,Commercial Van Tuning, --,Better Pull Under Load, --,Less Gear Hunting, --,Mobile Van Tuning Visit, --,Diagnostic Pre-Check, --,Original File Backed Up, --,Kent & SE London, --,Call Or WhatsApp Now, --,Load & Driveability Tune, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --,"Work-focused van tuning for better low-end pull, less lag and easier loaded driving.", --,"Diagnostic pre-check completed first, with original file backup and handover notes.", --,"Ideal for payload, towing and stop-start trade use across Kent and SE London.", --,Call or WhatsApp with your reg to check suitability before booking., --,load-tune,driveability,, --, --,,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,Eligible,,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,0,5,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/van-economy-tune,Van Economy Tune, --,Economy Tune From £199, --,Commercial Van Economy, --,Smoother Cruising Tune, --,Mobile Van Tuning Visit, --,Diagnostic Pre-Check, --,Original File Backed Up, --,Insurance Handover Note, --,Kent & SE London, --,Call Or WhatsApp Now, --,TriPoint Diagnostics, --,"Compliance-first, no guesswork", --, --, --, --, --, --, --,Economy-focused commercial van tuning with a diagnostic pre-check before any work., --,"Designed for smoother cruising and everyday drivability, with original file backup.", --,Best suited to motorway and A-road vans where fuel use depends on route and load., --,Call or WhatsApp with your reg to confirm suitability and book a mobile visit., --,economy,van-tune,, --, --,,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,Eligible,,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions,Responsive search ad,2,52,3.85%,GBP,1.67,3.35,0.00%,0.00,0.00
Enabled,https://tripointdiagnostics.co.uk/services/fleet-van-tuning,Fleet Van Tuning, --,Fleet Tuning From £169, --,Depot Tuning Days, --,3+ Vans Volume Pricing, --,Commercial Fleet Remaps, --,Diagnostic Pre-Checks, --,Economy Or Load Tunes, --,Original Files Backed Up, --,Kent & SE London, --,Call Or WhatsApp Now, --, --, --, --, --, --, --, --, --, --, --,"Fleet van tuning for 3+ vehicles with depot visits, reports and diagnostic pre-checks.", --,"Choose economy or load-focused calibrations to suit route, payload and daily use.", --,Ideal for mixed fleets needing consistent van tuning across multiple vehicles., --,Call or WhatsApp with fleet size and vehicle list for pricing and scheduling., --,fleet,van-tuning,, --, --,,Search | Tuning | Commercial Vans | Kent + SE London,Fleet Van Tuning,Eligible,,Average,Add 6 more sitelinks in your ad,Responsive search ad,0,9,0.00%,GBP,0,0.00,0.00%,0.00,0.00
Total: Enabled ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,119,"1,360",8.75%,GBP,2.57,305.71,5.04%,6.00,50.95
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,"1,360",8.75%,GBP,2.57,305.71,5.04%,6.00,50.95
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,"1,360",8.75%,GBP,2.57,305.71,5.04%,6.00,50.95
