Asset association report
All time
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
Enabled,Same Day Appointment Available,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Dealer-Level Tooling,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Covering Kent & SE London. Book online or WhatsApp. Diagnostics from £120+.,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Dealer-Level Diagnostic Depth Delivered to Your Driveway,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/1726658005087260578,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,Better MPG Options,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:29 AM",0,4,0.00%,GBP,0,0.00
Enabled,Fixed pricing confirmed first across Kent and SE London.,Description,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fixed pricing confirmed first across Kent and SE London.,Description,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fixed pricing confirmed first across Kent and SE London.,Description,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fixed pricing confirmed first across Kent and SE London.,Description,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/17262497058523780848,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fault Code Analysis,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:24 AM",0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,2,12,16.67%,GBP,1.72,3.43
Enabled,Call Or WhatsApp Now,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/6814333058206690212,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/6814333058206690212,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,1,0.00%,GBP,0,0.00
Enabled,Dealer-Level Tools,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:25 AM",1,5,20.00%,GBP,0.43,0.43
Enabled,Ideal before buying a used van so faults and warning lights are checked first.,Description,Ad,Eligible,,Advertiser, --,2,15,13.33%,GBP,1.14,2.29
Enabled,Ideal before buying a used van so faults and warning lights are checked first.,Description,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/9642174764278338059,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:22 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4804903335359469892,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,Limp Mode Fault Finding,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fleet Van Tuning,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:29 AM",0,3,0.00%,GBP,0,0.00
Enabled,Tripoint Diagnostics LTD,Business name,Campaign,Eligible,,Advertiser,"Mar 23, 2026, 2:27 AM",3,17,17.65%,GBP,0.85,2.55
Enabled,https://tpc.googlesyndication.com/simgad/16753879737837655199,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:22 AM",0,0, --,GBP,0,0.00
Enabled,Same-Day VOR Available,Headline,Ad,Eligible,,Advertiser, --,4,14,28.57%,GBP,4.17,16.69
Enabled,Full System Scan,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:25 AM",1,5,20.00%,GBP,0.43,0.43
Enabled,https://tpc.googlesyndication.com/simgad/9920363911673914068,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/11473493660702510225,Business logo,Campaign,Eligible,,Advertiser,"Mar 23, 2026, 2:27 AM",3,17,17.65%,GBP,0.85,2.55
Enabled,https://tpc.googlesyndication.com/simgad/5578902741428395137,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,1,0.00%,GBP,0,0.00
Enabled,Less Gear Hunting,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,DPF Fault Diagnosis,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,DPF Fault Diagnosis,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/14593078984494775454,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,"Areas Covered
Kent and SE London
Mobile Mercedes van specialist
https://tripointdiagnostics.co.uk/areas-covered",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 8:55 AM",0,0, --,GBP,0,0.00
Enabled,Commercial Van Tuning,Headline,Ad,Eligible,,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,"Our Process
How the visit works
Scan, diagnose, written outcome
https://tripointdiagnostics.co.uk/process",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:16 AM",1,21,4.76%,GBP,2.71,2.71
Enabled,Insurance Handover Note,Headline,Ad,Eligible,,Advertiser, --,0,7,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4538532125175738417,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4538532125175738417,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,"Diagnostic pre-check completed first, with original file backup and handover notes.",Description,Ad,Eligible,,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4538532125175738417,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,Mercedes Van Specialist,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Our Process
How the visit works
Scan, diagnose, written outcome
https://tripointdiagnostics.co.uk/process",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:17 AM",0,1,0.00%,GBP,0,0.00
Enabled,Mercedes Van Specialist,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Commercial Van Tune,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:29 AM",0,3,0.00%,GBP,0,0.00
Enabled,"Our Process
How the visit works
Scan, diagnose, written outcome
https://tripointdiagnostics.co.uk/process",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:18 AM",0,5,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/16410948507457471792,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:56 AM",0,1,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10061627420628463441,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10061627420628463441,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/16410948507457471792,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,Multi-Van Pricing,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:29 AM",0,5,0.00%,GBP,0,0.00
Enabled,Limp Mode Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Limp Mode Diagnostics,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Our Process
How the visit works
Scan, diagnose, written outcome
https://tripointdiagnostics.co.uk/process",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 9:23 AM",2,15,13.33%,GBP,0.49,0.98
Enabled,"Pricing
Fixed pricing available
Check rates before booking
https://tripointdiagnostics.co.uk/pricing",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 8:55 AM",0,0, --,GBP,0,0.00
Enabled,Mobile Diagnostic Visit,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Mobile Diagnostic Visit,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Van Economy Tune,Headline,Ad,Eligible,,Advertiser, --,1,6,16.67%,GBP,2.71,2.71
Enabled,Minimise Van Downtime,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:25 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/11365716192284563135,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,"Compliance-first, no guesswork",Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/11365716192284563135,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,Xentry-Level Diagnostics,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,TriPoint Diagnostics - Mobile Vehicle Diagnostics & Repairs,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Mobile dealer-level diagnostics for Sprinter vans. Full scan, live data, clear fix plan.",Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Mercedes Coding Available,Headline,Ad,Not eligible, --,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,Sprinter & Vito Focus,Callout,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:27 PM",5,76,6.58%,GBP,2.17,10.84
Enabled,"06:00-22:00, 7 Days",Callout,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:27 PM",6,97,6.19%,GBP,2.23,13.35
Enabled,Xentry-Based Workflow,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Proper testing: scan + live data + guided checks. Get a clear fix plan.,Description,Ad,Not eligible, --,Advertiser, --,11,119,9.24%,GBP,2.57,28.26
Enabled,Call now or book online. We'll confirm the best approach quickly.,Description,Ad,Not eligible, --,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,Sprinter & Vito Specialists,Headline,Ad,Not eligible, --,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,Ideal for trade referrals and module replacement setup support.,Description,Ad,Not eligible, --,Advertiser, --,3,38,7.89%,GBP,2.25,6.74
Enabled,Trade Support Available,Callout,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:27 PM",5,58,8.62%,GBP,2.17,10.84
Enabled,Kent & SE London Callouts,Headline,Ad,Not eligible, --,Advertiser, --,0,18,0.00%,GBP,0,0.00
Enabled,"Vito Brakes
Pads and discs packages
Vito brake replacement
https://tripointdiagnostics.co.uk/services/vito-brakes",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:11 AM",0,25,0.00%,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,15,0.00%,GBP,0,0.00
Enabled,Economy-focused commercial van tuning with a diagnostic pre-check before any work.,Description,Ad,Eligible,,Advertiser, --,0,17,0.00%,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Limp Mode Diagnosis,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:24 AM",0,1,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/1336254402153976460,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:01 AM",0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Mobile commercial vehicle fault finding across Kent and SE London.,Description,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Same-Day VOR Triage,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:25 AM",0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Mobile commercial vehicle fault finding across Kent and SE London.,Description,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/2033073146541107233,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:22 AM",0,1,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/1336254402153976460,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:00 AM",0,0, --,GBP,0,0.00
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,2,8,25.00%,GBP,7.40,14.79
Enabled,Call Or WhatsApp Now,Headline,Ad,Eligible,,Advertiser, --,0,6,0.00%,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/2033073146541107233,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:24 AM",0,2,0.00%,GBP,0,0.00
Enabled,Commercial Fleet Remaps,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/4474397124911804042,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:59 AM",0,0, --,GBP,0,0.00
Enabled,Mobile Vehicle Diagnostics,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,TriPoint Diagnostics,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Dealer-Level Van Diagnostics,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Sprinter Electrical Faults,Headline,Ad,Not eligible, --,Advertiser, --,15,283,5.30%,GBP,2.40,35.96
Enabled,Same-Day Triage Options,Headline,Ad,Not eligible, --,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,Dealer-Level Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,5,56,8.93%,GBP,2.19,10.93
Enabled,"Priority VOR triage when possible. Open 06:00-22:00, 7 days.",Description,Ad,Not eligible, --,Advertiser, --,0,8,0.00%,GBP,0,0.00
Enabled,Fix Mis-Coding Issues,Headline,Ad,Not eligible, --,Advertiser, --,2,31,6.45%,GBP,2.49,4.98
Enabled,Book A Diagnostic Visit,Headline,Ad,Not eligible, --,Advertiser, --,7,64,10.94%,GBP,2.62,18.36
Enabled,SCN Coding Support,Headline,Ad,Not eligible, --,Advertiser, --,0,16,0.00%,GBP,0,0.00
Enabled,Book Online Fast,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Book Online Fast,Headline,Ad,Not eligible, --,Advertiser, --,10,116,8.62%,GBP,2.41,24.08
Enabled,Book Online Fast,Headline,Ad,Not eligible, --,Advertiser, --,3,26,11.54%,GBP,2.25,6.74
Enabled,Dealer-Level Workflow,Headline,Ad,Not eligible, --,Advertiser, --,0,3,0.00%,GBP,0,0.00
Enabled,Book Online Fast,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Book Online Fast,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Fast Mobile Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,0,1,0.00%,GBP,0,0.00
Enabled,Wiring & Module Testing,Headline,Ad,Not eligible, --,Advertiser, --,23,170,13.53%,GBP,2.40,55.29
Enabled,Mobile across Kent & SE London. Ideal for working vans and fleets.,Description,Ad,Not eligible, --,Advertiser, --,6,56,10.71%,GBP,2.38,14.26
Enabled,Mobile Across Kent & SE,Callout,Campaign,Eligible,,Advertiser,"Feb 22, 2026, 12:27 PM",10,142,7.04%,GBP,2.14,21.38
Enabled,Avoid Guesswork Repairs,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Contact Us
Call or WhatsApp direct
Fast reply for bookings
https://tripointdiagnostics.co.uk/contact",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 9:23 AM",0,11,0.00%,GBP,0,0.00
Enabled,Fleet & trade support available. Coding/adaptations where required. 6am–10pm callouts.,Description,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,Book Online In Minutes,Headline,Ad,Not eligible, --; --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Mobile Mercedes van diagnostics for AdBlue, DPF, NOx and emissions warning faults.",Description,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,"Mobile Mercedes van diagnostics for AdBlue, DPF, NOx and emissions warning faults.",Description,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/2718815062858631396,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:50 AM",0,0, --,GBP,0,0.00
Enabled,Electrical Fault Diagnosis,Headline,Ad,Eligible,,Advertiser, --,0,2,0.00%,GBP,0,0.00
Enabled,Urgent Van Diagnostics,Headline,Ad,Eligible,,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10605206224704084602,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:22 AM",0,0, --,GBP,0,0.00
Enabled,Urgent Van Diagnostics,Headline,Ad,Not eligible, --,Advertiser, --,0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10605206224704084602,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:24 AM",0,0, --,GBP,0,0.00
Enabled,Live Data Testing,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:24 AM",0,0, --,GBP,0,0.00
Enabled,"Our Process
How the visit works
Scan, diagnose, written outcome
https://tripointdiagnostics.co.uk/process",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 8:52 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/10856041370197374228,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:50 AM",0,0, --,GBP,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/12416316758498128249,Image,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 11:16 AM",1,13,7.69%,GBP,2.71,2.71
Enabled,Better Pull Under Load,Callout,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 10:30 AM",0,1,0.00%,GBP,0,0.00
Enabled,"Limp Mode Guide
Reduced power diagnosis
Proper fault finding first
https://tripointdiagnostics.co.uk/blog/sprinter-limp-mode-proper-diagnostic",Sitelink,Ad group,Eligible,,Advertiser,"Mar 24, 2026, 8:54 AM",2,2,100.00%,GBP,10.16,20.32
